python_version	relative_path	kind	byte_exact	structure_equal	metadata_equal	dtypes_equal	nan_masks_equal	values_exact	canonical_exact	differing_pixels	rms_channel_difference	max_absolute_difference	max_relative_difference	within_tolerance	status
3.13.14	lat_lon/AIRS_specOLR/AIRS_specOLR-FLUT-ANN-global.json	json	True	True	NA	NA	NA	True	True	NA	NA	0	0	True	PASS
3.13.14	lat_lon/AIRS_specOLR/AIRS_specOLR-FLUT-ANN-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	lat_lon/AIRS_specOLR/AIRS_specOLR-FLUT-DJF-global.json	json	True	True	NA	NA	NA	True	True	NA	NA	0	0	True	PASS
3.13.14	lat_lon/AIRS_specOLR/AIRS_specOLR-FLUT-DJF-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	lat_lon/AIRS_specOLR/AIRS_specOLR-FLUT-JJA-global.json	json	True	True	NA	NA	NA	True	True	NA	NA	0	0	True	PASS
3.13.14	lat_lon/AIRS_specOLR/AIRS_specOLR-FLUT-JJA-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	lat_lon/AIRS_specOLR/AIRS_specOLR-FLUT-MAM-global.json	json	True	True	NA	NA	NA	True	True	NA	NA	0	0	True	PASS
3.13.14	lat_lon/AIRS_specOLR/AIRS_specOLR-FLUT-MAM-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	lat_lon/AIRS_specOLR/AIRS_specOLR-FLUT-SON-global.json	json	True	True	NA	NA	NA	True	True	NA	NA	0	0	True	PASS
3.13.14	lat_lon/AIRS_specOLR/AIRS_specOLR-FLUT-SON-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	lat_lon/AIRS_specOLR/AIRS_specOLR-FLUTC-ANN-global.json	json	True	True	NA	NA	NA	True	True	NA	NA	0	0	True	PASS
3.13.14	lat_lon/AIRS_specOLR/AIRS_specOLR-FLUTC-ANN-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	lat_lon/AIRS_specOLR/AIRS_specOLR-FLUTC-DJF-global.json	json	True	True	NA	NA	NA	True	True	NA	NA	0	0	True	PASS
3.13.14	lat_lon/AIRS_specOLR/AIRS_specOLR-FLUTC-DJF-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	lat_lon/AIRS_specOLR/AIRS_specOLR-FLUTC-JJA-global.json	json	True	True	NA	NA	NA	True	True	NA	NA	0	0	True	PASS
3.13.14	lat_lon/AIRS_specOLR/AIRS_specOLR-FLUTC-JJA-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	lat_lon/AIRS_specOLR/AIRS_specOLR-FLUTC-MAM-global.json	json	True	True	NA	NA	NA	True	True	NA	NA	0	0	True	PASS
3.13.14	lat_lon/AIRS_specOLR/AIRS_specOLR-FLUTC-MAM-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	lat_lon/AIRS_specOLR/AIRS_specOLR-FLUTC-SON-global.json	json	True	True	NA	NA	NA	True	True	NA	NA	0	0	True	PASS
3.13.14	lat_lon/AIRS_specOLR/AIRS_specOLR-FLUTC-SON-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	lat_lon/AIRS_specOLR/AIRS_specOLR-LWCF-ANN-global.json	json	True	True	NA	NA	NA	True	True	NA	NA	0	0	True	PASS
